code,provider,english_name,polish_name
LMO,deepl,Lombard (beta),lombardzki (beta)
LN,deepl,Lingala (beta),lingala (beta)
MAI,deepl,Maithili (beta),maithili (beta)
MG,deepl,Malagasy (beta),malgaski (beta)
MI,deepl,Maori (beta),maoryski (beta)
MK,deepl,Macedonian (beta),macedoński (beta)
MN,deepl,Mongolian (beta),mongolski (beta)
MR,deepl,Marathi (beta),marathi (beta)
MS,deepl,Malay (beta),malajski (beta)
MT,deepl,Maltese (beta),maltański (beta)
MY,deepl,Burmese (beta),birmański (beta)
NE,deepl,Nepali (beta),nepalski (beta)
OC,deepl,Occitan (beta),prowansalski (beta)
PAG,deepl,Pangasinan (beta),pangasinan (beta)
PAM,deepl,Kapampangan (beta),pampango (beta)
PRS,deepl,Dari (beta),dari (beta)
PS,deepl,Pashto (beta),paszto (beta)
QU,deepl,Quechua (beta),keczua (beta)
SA,deepl,Sanskrit (beta),sanskryt (beta)
SCN,deepl,Sicilian (beta),sycylijski (beta)
SQ,deepl,Albanian (beta),albański (beta)
SR,deepl,Serbian (beta),serbski (beta)
SU,deepl,Sundanese (beta),sundajski (beta)
SW,deepl,Swahili (beta),suahili (beta)
TA,deepl,Tamil (beta),tamilski (beta)
TE,deepl,Telugu (beta),telugu (beta)
TG,deepl,Tajik (beta),tadżycki (beta)
TK,deepl,Turkmen (beta),turkmeński (beta)
TL,deepl,Tagalog (beta),tagalski (beta)
TN,deepl,Tswana (beta),tswana (beta)
TS,deepl,Tsonga (beta),tsonga (beta)
TT,deepl,Tatar (beta),tatarski (beta)
UR,deepl,Urdu (beta),urdu (beta)
UZ,deepl,Uzbek (beta),uzbecki (beta)
WO,deepl,Wolof (beta),wolof (beta)
XH,deepl,Xhosa (beta),xhosa (beta)
YUE,deepl,Cantonese (beta),kantoński (beta)
